id,requirement,priority_or_target,source,line,implementation_slices,verification,status,evidence
AC-029,"Broker secrets never appear in logs, artifacts, thread history, SQLite, DuckDB, or Parquet.",AC,docs/TradeX_PRD_v1.0_RevC.md,3459,"S02,S05,S24,S32",原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储；真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界；Settings 行为、opt-in 网络观测、诊断错误分类及代表性日志秘密扫描,NOT_STARTED,
AC-030,Selecting Trade mode or a Live execution context does not arm live execution.,AC,docs/TradeX_PRD_v1.0_RevC.md,3388,"S05,S22",真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
AC-031,Requesting a live order while DISARMED requires a separate explicit Arm action before transaction approval is shown.,AC,docs/TradeX_PRD_v1.0_RevC.md,3391,S22,无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
AC-032,"The instrument, account, side, quantity, and order type displayed during order monitoring are the same immutable transaction approved by the user.",AC,docs/TradeX_PRD_v1.0_RevC.md,3394,"S13,S22",全字段编辑/刷新产生新身份与 hash；旧对象不变、旧审批失效；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
AC-033,An open live order can enter cancellation flow only after broker state refresh and transaction-specific user approval; UI represents `CANCEL_PENDING` and `CANCELLED`.,AC,docs/TradeX_PRD_v1.0_RevC.md,3397,S26,disarmed CANCEL→Arm→刷新原意图；cancel ACK≠terminal；partial fill 恰好一次调整,NOT_STARTED,
AC-034,"The UI represents deterministic `RISK_REJECTED`, broker `REJECTED`, approval `EXPIRED`, and `UNKNOWN_RECONCILING` states without implying successful execution.",AC,docs/TradeX_PRD_v1.0_RevC.md,3400,"S22,S25",无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
AC-035,"Market-order approval displays expected spend, maximum authorized spend, bid/ask/spread, quote age, and fees/slippage estimate where available.",AC,docs/TradeX_PRD_v1.0_RevC.md,3403,S22,无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
AC-036,Provider connection surfaces detected permissions and capability set before the connection is treated as ready.,AC,docs/TradeX_PRD_v1.0_RevC.md,3313,S02,原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储,NOT_STARTED,
AC-037,Authentication failure and private-stream disconnection disable new live execution until account health is restored.,AC,docs/TradeX_PRD_v1.0_RevC.md,3443,S27,真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
AC-038,"The complete first-run workflow covers Workspace → Providers → LLM (Model) → Risk Defaults → Ready, where the Model step configures the LLM provider: CLIProxyAPI sidecar state (running/OAuth-authorized) and/or DeepSeek key validated by probe + test inference (§26.3).",AC,docs/TradeX_PRD_v1.0_RevC.md,3316,"S01,S02,S03,S21",实际 Tauri invoke；临时 SQLite 重开；command/result/event/snapshot/replay 拒绝与恢复；原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储；实际 sidecar/probe/测试推理与 stopped/port-conflict/auth/quota/fallback 负例；全部政策字段的 public-command 拒绝路径；Agent 拒绝；多账户 policy version,IN_PROGRESS,S01: docs/implementation/s01-evidence.md; code 2424dd5bdadb76a63fdf485caff4bc66d7466781. Workspace contribution verified; remaining mapped slices are incomplete.
AC-039,The user can inspect and resume recent Threads and manage attached context/account/model from the composer.,AC,docs/TradeX_PRD_v1.0_RevC.md,3294,"S04,S05,S33",实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯；真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；实际桌面/768/390 页面与键盘/读屏；QA-01–12 的状态断言和截图,NOT_STARTED,
AC-040,The natural-language screener shows the parsed structured filter before execution and renders the reduced candidate set.,AC,docs/TradeX_PRD_v1.0_RevC.md,3335,S11,编辑 FilterSpec/RankSpec 改变实际筛选；stale/empty/failure 与选择身份回归,NOT_STARTED,
AC-041,Ask mode provides lightweight analysis/read-only context and does not expose paper or live execution capability.,AC,docs/TradeX_PRD_v1.0_RevC.md,3297,S05,真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立,NOT_STARTED,
AC-042,Live arming is account-scoped: arming Trading 212 does not arm Binance or Bitget; global Disable All disarms all live accounts.,AC,docs/TradeX_PRD_v1.0_RevC.md,3406,S22,无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
AC-043,Every live approval exposes complete market snapshot provenance defined by AC-008.,AC,docs/TradeX_PRD_v1.0_RevC.md,3409,"S07,S22",真实 provider snapshot/历史与 DuckDB 查询；canonical identity 和订阅上限；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
AC-044,Saving a risk policy invalidates affected pending approvals and communicates the invalidation reason; weakening policy disarms the affected account.,AC,docs/TradeX_PRD_v1.0_RevC.md,3412,"S21,S23,S27",全部政策字段的 public-command 拒绝路径；Agent 拒绝；多账户 policy version；双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态；真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
AC-045,A second concurrent proposal evaluates against reduced account capacity after an earlier proposal reserves cash/exposure and is deterministically rejected when insufficient capacity remains.,AC,docs/TradeX_PRD_v1.0_RevC.md,3415,S23,双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态,NOT_STARTED,
AC-046,"Trading 212 Demo, Binance Testnet, and Bitget Demo/Testnet-compatible workflows preserve their explicit non-live environment identity through proposal, acknowledgement, fill/update, and account-position refresh.",AC,docs/TradeX_PRD_v1.0_RevC.md,3418,"S18,S19,S20",Trading 212 Demo 官方环境身份/权限/下单查询撤单与不确定结果检查；Binance Spot Testnet 官方环境规则/签名/时间/数量/下单查询撤单检查；Bitget Spot Demo 官方支持证据、环境标记及下单查询撤单检查,NOT_STARTED,
AC-047,"Workspace import/restore validates archive/schema metadata, does not import broker secrets, and requires reconciliation before live execution is re-enabled.",AC,docs/TradeX_PRD_v1.0_RevC.md,3462,S31,有效/恶意归档路径/schema/密钥/迁移中断/恢复前备份/恢复后 disarm 与对账,NOT_STARTED,
AC-048,"Backtest result includes return, Sharpe, Sortino, max drawdown, win rate, profit factor, turnover, equity curve, trade list, and reproducibility manifest.",AC,docs/TradeX_PRD_v1.0_RevC.md,3465,S15,冻结输入重跑与缺口/时区/调整/no-lookahead 反例；完整指标与取消/比较,NOT_STARTED,
AC-049,"Equity instrument detail exposes relevant market session/corporate-action state, and unsupported closed/halted execution is blocked deterministically.",AC,docs/TradeX_PRD_v1.0_RevC.md,3338,S08,注入 clock jump/resume/skew/stale/calendar/halt 条件并验证权限 fail closed,NOT_STARTED,
AC-050,Canonical error categories render appropriate remediation without introducing conflicting machine-state names.,AC,docs/TradeX_PRD_v1.0_RevC.md,3446,S32,Settings 行为、opt-in 网络观测、诊断错误分类及代表性日志秘密扫描,NOT_STARTED,
AC-051,Provider connection UI is rendered from provider credential/capability schema and does not assume every provider uses identical credential fields.,AC,docs/TradeX_PRD_v1.0_RevC.md,3322,S02,原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储,NOT_STARTED,
AC-052,"Core interactive surfaces are keyboard reachable with visible focus, and generic `Enter` submission cannot approve a live order or cancellation.",AC,docs/TradeX_PRD_v1.0_RevC.md,3472,"S22,S26,S33",无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；disarmed CANCEL→Arm→刷新原意图；cancel ACK≠terminal；partial fill 恰好一次调整；实际桌面/768/390 页面与键盘/读屏；QA-01–12 的状态断言和截图,NOT_STARTED,
AC-053,Cross-account portfolio values show the workspace base currency plus FX source/timestamp/freshness for normalized values.,AC,docs/TradeX_PRD_v1.0_RevC.md,3341,S09,多币与 depeg 估值；真实 source/path/双时间戳；不可信转换阻止依赖性 Live risk,NOT_STARTED,
AC-054,Narrow desktop/tablet-class layouts preserve live safety information; v1.0 exposes no native mobile live-execution client.,AC,docs/TradeX_PRD_v1.0_RevC.md,3475,S33,实际桌面/768/390 页面与键盘/读屏；QA-01–12 的状态断言和截图,NOT_STARTED,
AC-055,"Onboarding cannot reach Ready without at least one usable LLM provider; a sidecar that is stopped, port-conflicted, or unauthorized blocks Ready with remediation guidance.",AC,docs/TradeX_PRD_v1.0_RevC.md,3319,S03,实际 sidecar/probe/测试推理与 stopped/port-conflict/auth/quota/fallback 负例,NOT_STARTED,
AC-056,"When the CLIProxyAPI sidecar is stopped, port-conflicted, or unauthorized, agent turns pause with remediation guidance while approvals, execution, and reconciliation continue to function (fail-closed for LLM only).",AC,docs/TradeX_PRD_v1.0_RevC.md,3482,"S03,S27",实际 sidecar/probe/测试推理与 stopped/port-conflict/auth/quota/fallback 负例；真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
AC-057,"Subscription quota exhaustion and OAuth expiry surface `QUOTA_EXCEEDED` / `OAUTH_EXPIRED` with retry/re-login/explicit provider-switch remediation. Cross-provider automatic fallback occurs only when the user explicitly enabled it, is visibly disclosed/audited, and never changes capability levels or bypasses approvals.",AC,docs/TradeX_PRD_v1.0_RevC.md,3485,S03,实际 sidecar/probe/测试推理与 stopped/port-conflict/auth/quota/fallback 负例,NOT_STARTED,
AC-058,Every turn records the model/provider and all provider attempts that produced or failed that turn; model switches/degradations are written to the audit trail (§57).,AC,docs/TradeX_PRD_v1.0_RevC.md,3488,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
AC-059,"Agent Mode and Execution Context are stored and rendered as separate dimensions; Ask/Research with a live account remains read-only, Backtest cannot invoke current-market broker execution, and Trade with a Live context still requires arming + approval.",AC,docs/TradeX_PRD_v1.0_RevC.md,3491,S05,真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立,NOT_STARTED,
AC-060,"Every started turn persists an immutable snapshot of Agent Mode, execution context, selected account, capability level, model/provider, and attached context references/hashes.",AC,docs/TradeX_PRD_v1.0_RevC.md,3494,S04,实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯,NOT_STARTED,
AC-061,An ambiguous live submission that exceeds the automatic reconciliation window keeps its reservation frozen and exposes only the evidence-based Manual Resolution options in §23; no generic release action restores live readiness.,AC,docs/TradeX_PRD_v1.0_RevC.md,3497,S25,provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
AC-062,Detected withdrawal/transfer/custody permission on a live broker credential blocks execution readiness until removed; permission scope that cannot be inspected is labeled `UNVERIFIED` and remains visible.,AC,docs/TradeX_PRD_v1.0_RevC.md,3500,S02,原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储,NOT_STARTED,
AC-063,"Quote age, approval expiry, and reconciliation timers fail closed for live authority decisions when TimeService reports unacceptable clock uncertainty.",AC,docs/TradeX_PRD_v1.0_RevC.md,3503,S08,注入 clock jump/resume/skew/stale/calendar/halt 条件并验证权限 fail closed,NOT_STARTED,
AC-064,Local Paper is explicitly identified as TradeX simulation and cannot be confused with provider-hosted Paper/Demo/Testnet or Live execution.,AC,docs/TradeX_PRD_v1.0_RevC.md,3506,S16,Local Paper 真实持久化现金/持仓/订单更新；环境明确且无 Live gateway I/O,NOT_STARTED,
AC-065,Editing a generated order creates a new immutable `OrderProposal` identity and invalidates any approval tied to the prior proposal.,AC,docs/TradeX_PRD_v1.0_RevC.md,3509,"S13,S22",全字段编辑/刷新产生新身份与 hash；旧对象不变、旧审批失效；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
AC-066,Cross-account valuation involving stablecoins/FX shows source/path/timestamps/freshness and a quality/depeg state; unreliable conversion cannot silently drive live risk calculations.,AC,docs/TradeX_PRD_v1.0_RevC.md,3512,S09,多币与 depeg 估值；真实 source/path/双时间戳；不可信转换阻止依赖性 Live risk,NOT_STARTED,
NFR-001,UI render after received runtime event,p95 < 100 ms (measured from IPC event arrival to UI commit; sampled over representative interactions),docs/TradeX_PRD_v1.0_RevC.md,2890,S34,代表性 workload p95/恢复时限；实际版本固定的签名包与来源验证,NOT_STARTED,
NFR-002,Tool-card render after result received,p95 < 100 ms (same measurement boundary as NFR-001),docs/TradeX_PRD_v1.0_RevC.md,2891,S34,代表性 workload p95/恢复时限；实际版本固定的签名包与来源验证,NOT_STARTED,
NFR-003,Crash restart to reconciliation start,< 5 s,docs/TradeX_PRD_v1.0_RevC.md,2892,"S27,S34",真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性；代表性 workload p95/恢复时限；实际版本固定的签名包与来源验证,NOT_STARTED,
NFR-004,Secret leakage into logs,0 (CI runs a secret scanner over representative log corpora; zero findings is the acceptance gate),docs/TradeX_PRD_v1.0_RevC.md,2893,"S02,S24,S32,S35",原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界；Settings 行为、opt-in 网络观测、诊断错误分类及代表性日志秘密扫描；同一 dev SHA 全部需求证据、required CI 与 map/spec/task 完成状态、OPEN PR,NOT_STARTED,
NFR-005,Unapproved live order submissions,0,docs/TradeX_PRD_v1.0_RevC.md,2894,"S22,S24,S35",无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界；同一 dev SHA 全部需求证据、required CI 与 map/spec/task 完成状态、OPEN PR,NOT_STARTED,
NFR-006,Duplicate live submissions caused by TradeX retry,0,docs/TradeX_PRD_v1.0_RevC.md,2895,"S24,S25,S35",真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界；provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态；同一 dev SHA 全部需求证据、required CI 与 map/spec/task 完成状态、OPEN PR,NOT_STARTED,
NFR-007,Silent assumption of ambiguous broker state,0,docs/TradeX_PRD_v1.0_RevC.md,2896,S25,provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
NFR-008,Open live orders reconciled after restart,100%,docs/TradeX_PRD_v1.0_RevC.md,2897,S27,真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
NFR-009,"Live approval market snapshots include source, provider timestamp, TradeX received timestamp, venue, entitlement, and freshness",100%,docs/TradeX_PRD_v1.0_RevC.md,2898,"S07,S22",真实 provider snapshot/历史与 DuckDB 查询；canonical identity 和订阅上限；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
NFR-010,Live execution requires healthy account state,100%,docs/TradeX_PRD_v1.0_RevC.md,2899,"S22,S24,S27",无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界；真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
NFR-011,Material order change invalidates approval,100%,docs/TradeX_PRD_v1.0_RevC.md,2900,"S13,S22",全字段编辑/刷新产生新身份与 hash；旧对象不变、旧审批失效；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
NFR-012,Any relevant risk-policy change invalidates affected pending approvals; weakening policy disarms the affected live account,100%,docs/TradeX_PRD_v1.0_RevC.md,2901,"S21,S23,S27",全部政策字段的 public-command 拒绝路径；Agent 拒绝；多账户 policy version；双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态；真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
NFR-013,External telemetry is disabled by default and requires explicit opt-in,100%,docs/TradeX_PRD_v1.0_RevC.md,2902,S32,Settings 行为、opt-in 网络观测、诊断错误分类及代表性日志秘密扫描,NOT_STARTED,
NFR-014,Financial price/quantity/notional calculations use decimal-safe arithmetic,100%,docs/TradeX_PRD_v1.0_RevC.md,2903,"S09,S13,S21,S23",多币与 depeg 估值；真实 source/path/双时间戳；不可信转换阻止依赖性 Live risk；全字段编辑/刷新产生新身份与 hash；旧对象不变、旧审批失效；全部政策字段的 public-command 拒绝路径；Agent 拒绝；多账户 policy version；双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态,NOT_STARTED,
NFR-015,Core desktop UI is keyboard reachable with visible focus; `Enter` never implicitly approves a live transaction,100%,docs/TradeX_PRD_v1.0_RevC.md,2904,S33,实际桌面/768/390 页面与键盘/读屏；QA-01–12 的状态断言和截图,NOT_STARTED,
NFR-016,Narrow-window layouts preserve live safety information; v1.0 ships no native mobile live-execution client,100%,docs/TradeX_PRD_v1.0_RevC.md,2905,S33,实际桌面/768/390 页面与键盘/读屏；QA-01–12 的状态断言和截图,NOT_STARTED,
NFR-017,Turn/provider provenance is complete for every agent turn,100%,docs/TradeX_PRD_v1.0_RevC.md,2907,"S04,S12",实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯；关闭重开 Artifact；导出内容与 immutable provenance/审计链核对,NOT_STARTED,
NFR-018,Live freshness/TTL checks use synchronized time semantics and fail closed on unacceptable clock uncertainty,100%,docs/TradeX_PRD_v1.0_RevC.md,2908,"S08,S22,S24",注入 clock jump/resume/skew/stale/calendar/halt 条件并验证权限 fail closed；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界,NOT_STARTED,
NFR-019,Ambiguous submissions cannot be locally released into a healthy/live-ready state without authoritative/evidence-based resolution,100%,docs/TradeX_PRD_v1.0_RevC.md,2909,S25,provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
SEC-001,Model cannot access raw broker secrets or OS-keychain values.,,docs/TradeX_PRD_v1.0_RevC.md,2915,"S02,S05,S24",原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储；真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界,NOT_STARTED,
SEC-002,Agent/Codex runtime cannot directly call the privileged Order Gateway.,,docs/TradeX_PRD_v1.0_RevC.md,2916,"S05,S24",真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界,NOT_STARTED,
SEC-003,Generic Codex approvals cannot authorize financial execution.,,docs/TradeX_PRD_v1.0_RevC.md,2917,"S05,S22",真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
SEC-004,"Strategy sandbox cannot access broker credentials, keychain, privileged gateway, or unrestricted network.",,docs/TradeX_PRD_v1.0_RevC.md,2918,S14,真实 sandbox worker 尝试 network/files/keychain/gateway 被拒；版本内容哈希,NOT_STARTED,
SEC-005,"Untrusted external content cannot alter risk policy, authority, credentials, or approve execution.",,docs/TradeX_PRD_v1.0_RevC.md,2919,"S05,S10,S21",真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；实际工具结果标记进入最终结果；缺失/篡改负例；来源及注入隔离；全部政策字段的 public-command 拒绝路径；Agent 拒绝；多账户 policy version,NOT_STARTED,
SEC-006,"Live approvals are account/action/proposal-bound, short-lived, and single-use.",,docs/TradeX_PRD_v1.0_RevC.md,2920,"S22,S23",无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态,NOT_STARTED,
SEC-007,"All model inference traffic has exactly one exit: the local CLIProxyAPI endpoint (127.0.0.1:8317). TradeX, Codex, and the strategy sandbox must not connect to any external LLM endpoint directly.",,docs/TradeX_PRD_v1.0_RevC.md,2921,"S03,S04,S14",实际 sidecar/probe/测试推理与 stopped/port-conflict/auth/quota/fallback 负例；实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯；真实 sandbox worker 尝试 network/files/keychain/gateway 被拒；版本内容哈希,NOT_STARTED,
SEC-008,"The CLIProxyAPI sidecar holds only model credentials (ChatGPT OAuth, rendered DeepSeek key); it must never hold or receive broker credentials, keychain broker items, or Order Gateway capabilities.",,docs/TradeX_PRD_v1.0_RevC.md,2922,"S02,S03,S24",原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储；实际 sidecar/probe/测试推理与 stopped/port-conflict/auth/quota/fallback 负例；真实独立子进程认证与私有句柄隔离；grant/revoke/SUBMITTING/I/O 崩溃边界,NOT_STARTED,
SEC-009,A Live broker connection with withdrawal/transfer/custody permissions detected must not become execution-ready until those permissions are removed; TradeX must not use unsupported margin/leverage permissions.,,docs/TradeX_PRD_v1.0_RevC.md,2923,"S02,S22",原生敏感输入/Keychain 集成；schema/环境/危险权限检查；秘密不进入普通存储；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
DATA-001,Domain logic uses canonical instrument IDs; provider symbols remain adapter mappings.,,docs/TradeX_PRD_v1.0_RevC.md,2929,S07,真实 provider snapshot/历史与 DuckDB 查询；canonical identity 和订阅上限,NOT_STARTED,
DATA-002,"Price, quantity, and notional calculations use decimal-safe representations.",,docs/TradeX_PRD_v1.0_RevC.md,2930,"S09,S13,S21,S23",多币与 depeg 估值；真实 source/path/双时间戳；不可信转换阻止依赖性 Live risk；全字段编辑/刷新产生新身份与 hash；旧对象不变、旧审批失效；全部政策字段的 public-command 拒绝路径；Agent 拒绝；多账户 policy version；双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态,NOT_STARTED,
DATA-003,"Market snapshots retain source, provider timestamp, TradeX received timestamp, venue, entitlement, and freshness.",,docs/TradeX_PRD_v1.0_RevC.md,2931,S07,真实 provider snapshot/历史与 DuckDB 查询；canonical identity 和订阅上限,NOT_STARTED,
DATA-004,"Cross-account valuation records workspace-base currency, FX source, timestamp, and freshness.",,docs/TradeX_PRD_v1.0_RevC.md,2932,S09,多币与 depeg 估值；真实 source/path/双时间戳；不可信转换阻止依赖性 Live risk,NOT_STARTED,
DATA-005,"Market-data provider metadata includes entitlement, retention, and redistribution constraints.",,docs/TradeX_PRD_v1.0_RevC.md,2933,S07,真实 provider snapshot/历史与 DuckDB 查询；canonical identity 和订阅上限,NOT_STARTED,
DATA-006,Backtests persist reproducibility manifests including strategy/data hashes and adjustment/calendar assumptions.,,docs/TradeX_PRD_v1.0_RevC.md,2934,S15,冻结输入重跑与缺口/时区/调整/no-lookahead 反例；完整指标与取消/比较,NOT_STARTED,
DATA-007,"Every Turn persists an immutable Agent Mode, Execution Context, account, model/provider, and attached-context provenance snapshot.",,docs/TradeX_PRD_v1.0_RevC.md,2935,"S04,S05",实际 Codex stream 与重开持久化；不可变 Turn；每次 provider attempt 可追溯；真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立,NOT_STARTED,
DATA-008,FX/stablecoin normalized valuation persists source/path/timestamps/freshness and quality/depeg state.,,docs/TradeX_PRD_v1.0_RevC.md,2936,S09,多币与 depeg 估值；真实 source/path/双时间戳；不可信转换阻止依赖性 Live risk,NOT_STARTED,
OPS-001,"Broker/exchange state is authoritative for live positions, orders, and fills.",,docs/TradeX_PRD_v1.0_RevC.md,2942,S25,provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
OPS-002,Ambiguous non-idempotent submissions are reconciled before any retry.,,docs/TradeX_PRD_v1.0_RevC.md,2943,S25,provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
OPS-003,Startup/resume/reconnect performs reconciliation before new live execution.,,docs/TradeX_PRD_v1.0_RevC.md,2944,S27,真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
OPS-004,Provider rate limiting prioritizes execution reconciliation above research/history traffic.,,docs/TradeX_PRD_v1.0_RevC.md,2945,S27,真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
OPS-005,Execution reservations are atomic and account-scoped across concurrent threads.,,docs/TradeX_PRD_v1.0_RevC.md,2946,S23,双 Thread 并发与中断事务；单次消费/容量不足；policy-save/consume 竞态,NOT_STARTED,
OPS-006,Desktop builds are packaged and code-signed through a repeatable release pipeline.,,docs/TradeX_PRD_v1.0_RevC.md,2947,S34,代表性 workload p95/恢复时限；实际版本固定的签名包与来源验证,NOT_STARTED,
OPS-007,Auto-update and crash reporting are explicit product surfaces; crash reports contain no broker secrets and telemetry follows NFR-013 opt-in.,,docs/TradeX_PRD_v1.0_RevC.md,2948,S32,Settings 行为、opt-in 网络观测、诊断错误分类及代表性日志秘密扫描,NOT_STARTED,
OPS-008,An `UNKNOWN_RECONCILING` reservation remains frozen after automated timeout and may only be resolved through audited Manual Resolution.,,docs/TradeX_PRD_v1.0_RevC.md,2949,S25,provider ACK/partial/fill/reject/unknown 证据；重复乱序/空查询/处置-成交竞态,NOT_STARTED,
OPS-009,TimeService detects material wall-clock jumps/skew and blocks Live freshness/TTL authority decisions until trusted time is restored.,,docs/TradeX_PRD_v1.0_RevC.md,2950,S08,注入 clock jump/resume/skew/stale/calendar/halt 条件并验证权限 fail closed,NOT_STARTED,
UX-001,Selecting Trade mode or a Live execution context never arms execution.,,docs/TradeX_PRD_v1.0_RevC.md,2956,"S05,S22",真实工具调用边界拒绝非法 capability；精确所选 context/hash 与历史独立；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
UX-002,Live arming is explicit and account-scoped; arming one broker account does not arm another.,,docs/TradeX_PRD_v1.0_RevC.md,2957,"S22,S27",无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容；真实重启/进程故障及 OS 生命周期；全账户 disarm/派发前后证据；模型故障独立性,NOT_STARTED,
UX-003,Live approval displays immutable order identity and market-data provenance.,,docs/TradeX_PRD_v1.0_RevC.md,2958,"S13,S22",全字段编辑/刷新产生新身份与 hash；旧对象不变、旧审批失效；无有效同意不能执行；account/action/hash/TTL/arming/版本负例；审批 UI 内容,NOT_STARTED,
UX-004,Paper / Demo / Testnet / Live states use explicit text in addition to color.,,docs/TradeX_PRD_v1.0_RevC.md,2959,"S16,S17,S18,S19,S20,S28,S29,S30",Local Paper 真实持久化现金/持仓/订单更新；环境明确且无 Live gateway I/O；Alpaca Paper 官方环境 place/query/cancel/stream 与 contract/fault 检查；Trading 212 Demo 官方环境身份/权限/下单查询撤单与不确定结果检查；Binance Spot Testnet 官方环境规则/签名/时间/数量/下单查询撤单检查；Bitget Spot Demo 官方支持证据、环境标记及下单查询撤单检查；Trading 212 Live 真实只读/权限/data entitlement 和具体授权交易验收证据；Binance Spot Live 真实只读/权限/FX/rules 和具体授权交易验收证据；Bitget Spot Live 真实只读/权限/身份及具体授权交易验收证据,NOT_STARTED,
